description,pallets,weight,cube
Viscoat P Smoke Master 1 162 x 200 ft Reg Clear,1,350,0
"almonds , cashew, walnuts",16,9290,0
Pasta and Sauces,5,1140,0
"dressing all kind, pancakes",5,6072,0
seasoning all kind,1,489,0
CHERRY,3,2644,0
olives,7,10495,0
Kraft Oscar Mayer Lunchables ,1,1216,0
spread,22,22482,0
fillets,4,3474.9,0
SUGAR SUBSTITUTE STEVIA-BX(TRUVIA GREEN),2,684,0
Lettuces,4,4704,280
GELATIN DESSERTS different flavors,3,1680,0
Sugar Substitute,2,684,0
YOGURT ALL KINDS,12,12236,0
croutons,8,2730,0
hardware articles,5,4950,0
Candies all kinds,1,1573,0
Kraft - Oscar Mayer Lunchables,1,1215,0
plastic containers,5,4641,0
fans,1,1612,0
GROCERY ITEMS,1,1025,0
cereal all kind,4,2224,0
Plastic Film,3,4239,0
HBC/HBA Hygienic Products,4,4014,0
Fruit Cocktail ( non-alcoholic ) ,18,35304,0
Vacuum Bags Clear Pouches,1,415,0
la Yogurt,8,7966,0
Earth Wise,3,1539,0
Personal Items,2,180,0
"Tortillas,",9,8291,0
doors accesories,1,309,0
stonyfield,1,1200,0
sabra,1,738,0
land o frost,1,936,0
DRY GROCERY,13,11831,471
Restaurant Grocery Supplies,6,13104,0
fresh pork,10,19689.5,278
Plastic Film,3,4239,0
DRY GROCERY,1,541,0
REFRIGERATED cargo,1,1013,0
Tofu REFRIGERATED,1,1840,0
sporting goods,3,1976,233
DRY GROCERY,20,6493,0
Kraft Parkay Spreads,15,13300.5,0
Lettuce Romaine Hearts 12/3 ct,4,4536,278
lighting parts,2,1706,0
Kraft Dairy Products All kind,30,41355.46,0
FROZEN MEAT ,1,290,7.1
home articles,1,260,0
ribs,2,3360,0
YOGURT ALL KINDS,13,13563,0
FROZEN MEAT,4,5287.48,0
sauces all kinds ,2,3328.94,0
Bolsas Filtrantes Tipo AP 10/15  7 1/16 x 32,1,320,0
Restaurant Dairy Products,3,5310.2,211
Cheddar and Monterey Cheese,1,228.8,6.16
Plastic Film,3,5919.27,0
Restaurant Frozen Foods,13,24136.34,882.38
Kraft Parkay Products,5,6728.82,195
Battery,3,7464,0
Packaging Aseptic Material,15,21100,0
"trash bags, plastic containers",5,2660,0
Ingersol Equipment ,2,5405,0
Packaging Aseptic Material,19,21440,0
fresh meat,11,16130.6,0
Packaging Aseptic Material,16,25447.16,0
SOUR CREAM,1,1737.3,0
Yogurt,8,7834,0
YOGURT ALL KINDS,6,4900,0
plastic containers,1,106,0
Display,1,371,0
FROZEN MEAT,4,3412.8,292
Silica Gel - Tixoxil ,6,3898.25,0
Stc Toilet Preparation,36,30000,790
Labels ,24,37000,0
Industrial Water Treatment,1,90,0
Casings,4,1318,0
carts,4,1674,0
Paper Filters,4,2007,0
Wraps,1,1300,0
Provolone cheeses,4,7302.45,0
Kraft Parkey Spreads,11,14285,0
Kraft Parkay Spreads,6,6720,0
Romaine lettuces,4,4536,278
Restaurant Supplies,1,300,0
"Wrskip-FB , Drapery Hdwe",2,844,0
Restaurant Supplies,1,300,0
Display,1,360,0
steel utility cart,2,1531,0
equipment ,1,11,0
SPORT GOODS,1,561,0
electronics IBM,1,105,0
Bobina Liners de Induccion PE Impreso,10,10429,0
Liner Sensitivo PS-22 37.7 MM,1,150,0
Cheddar and Monterey Cheese,1,228.8,6.16
Bobina Sello Seguridad Margarina,3,4200,0
2 boxes,1,7,0
Plastic Parts,3,1666,0
Plastic Film,20,21244,0
naked juices,1,0,0
hershey's,1,594,0
hershey's,1,2520,0
lactaid,1,1632,0
Kraft Grated Parmesan,9,8134,0
YOGURT ALL KINDS,13,12807,0
cereal all kind,3,2126,0
HBC/HBA Supplies ,2,3350.04,0
PASTA PENNE GLUTEN FREE ORGANIC,1,70.8,0
HBC/HBA Hygienic Products,12,10773,0
Bread,24,8158.85,666
TORTILLAS REFRIGERATED,11,10631.02,0
Tree Ripe,3,4289,0
yogurt,8,7834,0
DRY GROCERY,2,2981,0
Plastic articles,5,989,0
hardware product,1,125,0
Extracs Flavouring Liquids,1,485,0
Extracs Flavouring Liquids,1,485,0
Cartrige for Printer,1,110,10
"string, apron",1,130,0
"plastic bags, storage bags, sandwich bags",3,1805.7,0
Artificial Sausage Casings / Tripas Plasticas,2,2444,0
fresh Lettuce,4,4704,280
Plastic Articles,1,155,0
Yogurt,8,5840,0
SOUR CREAM,1,1387.6,0
Pork Flavors (sabor Blanco),3,3330,0
Kraft Dairy Products,25,33874,0
Kraft Oscar Mayer Lunchables ,1,1215.61,0
soy milk,9,15336,0
equipment,1,42,0
YOGURT ALL KINDS,13,13143,0
Earth Wise,1,1536,0
Kraft Oscar Mayer Lunchables ,1,853,0
Kraft Dairy Products All kind,13,18244,0
equipment,1,790,0
crackers,2,388,94
bake ovens nibn,3,960,0
Lcl Cargo,1,360,0
Elastic Webbing On Rolls,2,1475,0
Elastic Webbing On Rolls,2,0,0
frozen seafood,2,2227.5,0
"Pylon Sign, Wallsign, Adornments, pylong steel,",7,11200,0
AC parts,1,900,0
Lettuce Romaine Hearts 12/3 ct,4,4536,278
coffe maker,4,2160,0
"crackers , biscuits DRY GROCERY",25,8004.94,1065.72
"Mozzarella cheese, Loaf , Shreded",12,22423.8,0
1009757 Corrugated Paper,6,2217,0
"Sauces, ",2,2108,0
YOGURT ALL KINDS,14,12890,0
hooks,1,303,25
crates,3,5035,824
Hbc/ HBa,1,135,29
"Hot pockets , pizzas and cicken fettucini",2,1313.65,0
yogurt,2,2080,112
Kraft Dairy Products,13,16657,0
Kraft Oscar Mayer Lunchables ,1,1144,0
Hot pockets and Pizzas ,5,4345.65,0
,11,5225.5,445
,1,728,33
Semilla de Cilantro Y Apio En Polvo,1,1067,0
box,1,38,0
Houseware Furnitures,4,575,0
Plastic Film,3,3236,0
Plastic Film,3,3236,0
Kraft Parkey Spreads,7,8421.9,273
Fresh meat,12,19587.8,0
Hershey Racks,13,3920,0
carts,1,285,35
Plastic Track,1,90,0
FT 10219 CHOCOLATE Flavoring,1,84,0
,2,2367,0
,2,2431,0
Platic Films / Bags,3,1934,0
,3,4806,0
103901 y 103902 Induveca Salcgicha Gigante - Plastic Film,3,2130,0
Motor Fan Ventilators / Under Waranty,1,55,20
Shelving Displays ,1,288,0
Motor Fan Ventilators,1,55,0
store displays,1,1000,0
Industrial parts & Supplies,1,900,0
DRY GROCERY,2,1589,0
Frozen Goods ,2,1202,0
Condimento Sabor Aumado,6,5456,0
General Grocery ,3,2166,0
personal item,9,2355,0
Bone Inlay Side Table 20 x 20,1,42,0
tofu REFRIGERATED,1,1520,0
Hardware articles,12,2587,0
Tortillas,9,8291,364.56
103901 Induveca Salcgicha Gigante - Plastic Film,2,2431,0
electrical materials,14,4998,0
Stands,1,300,0
104641 Induveca Jamon de Pavo,3,1934,0
103901 Induveca Salcgicha Gigante - Plastic Film,3,4806,0
103901 y 103902 Induveca Salcgicha Gigante - Plastic Film,3,2130,0
Alouette Cream Cheese,7,3914.82,0
Compound Industrial Water Treatment,1,2173,0
Plastic Film PLSTC 35 lbs or Greater PCF IT-156830,4,5108,0
"Bags, Plastic Films",8,4768,0
Restaurant Supplies,1,59,0
DRY GROCERY,22,14021,865
rice all kinds,5,9058.8,90
Industrial spare parts ,1,357,0
shopping car for kids,2,570,0
Foodstuffs,2,1480,0
Lettuce Romaine Hearts 12/3 ct,5,6048,370
Spices,1,253,0
Pasta & Sauces,6,1205,0
Plates Plastic,4,3375,181.55
cheese,6,12339.58,0
Bobina Liners de Induccion PE Impreso,10,10148,0
steel shelving,5,1500,0
fruit bags,4,1330,0
Brackets ,1,570,20
XIA RSN 0431 HS RESIN,1,535.2,64
Power Unit 16969,1,44,0
YOGURT ALL KINDS,11,12650,0
"croutons, tortillas",4,1405,0
soy milk,4,6816,0
DRY GROCERY,24,13122,1224
Parkay Assorted Margarines,10,12167,0
Sausage,3,5436,0
"Lamps, Ballast and Lens",1,485,0
Hershey Racks,13,3920,0
Decorative Items,1,151,0
aluminium Channel,1,220,0
Bacon ,5,5165,0
hbc hba,1,120,0
"FROZEN PRODUCTS bread. pita bread, ",28,23307,0
electrical materials,2,695,0
hbc hba,4,3218,0
pet accessories,1,340,0
DRY GROCERY,4,2605,0
pasta all kind,1,47,0
HBC/HBA Hygienic Products,4,4301,0
Frozen Waffles ,1,487,0
fresh meat,6,9885.5,138
fresh pork,9,20430,223
"racks, shelf",1,2395,0
Frozen Turkey,12,15675,0
"almonds,cashews",13,10737.75,0
fresh meat,8,14395,407
La yogurt,8,7952,0
Tree Ripe,3,3540,0
Naked Juice,1,654,0
Craft Items,1,120,8
Yogurt all kind,8,5939,0
Frozen Turkey part drums,31,41820,0
Semilla De Apio En Polvo,1,1115,0
"Sour Cream , Cottage Cheese",1,1737,0
CHOCOLATES,6,6620,0
craft items,1,152,0
Kraft Dairy Products All kind,24,34754,0
Kraft - Oscar Mayer Lunchables,1,1372,0
Industrial Supplies,2,2385,0
"Plastic rails, phsher assembly",4,1146,0
DRY GROCERY,10,21824,0
equipment,1,565,267
hardware product,12,4148.4,0
Vegetable Protein - Response 4412,1,467,0
Food Product,2,1355,0
Tripas Plasticas / Cellulose Casings,5,2770,0
YOGURT ALL KINDS,12,12718,0
CHOCOLATES All kinds ,6,1770,0
Ceiling Fans,5,1254,860
racks,1,1810,0
Formaggio Dairy Products,1,394,0
Sabra,1,819,0
Emmi Yogurt,1,880,0
dellalo,1,178,0
stonyfiel,1,1086,0
Belgioioso,1,459,0
kefir,2,2820,0
"ceral, cooking spray , granola",12,6230,442
Bolsas Filtrantes Tipo AP 10/15  7 1/16 x 32,2,485,0
nuts,1,260,13.02
Parkay Margarine,10,12009,0
industrial parts,1,1216,29
Stoves and Rangers,1,670,0
fresh grapes,20,30900,0
Flowserve Seal ,1,5,0
Vacuum Supplies & Acccesories,1,300,0
fresh grapes,20,31500,0
Assorted  REFRIGERATED Tortillas ,11,10631,470
Earth Wise,3,1539,0
La yougrut,7,7700,0
fresh grapes,24,36000,0
Almohadones,1,25,0
Kraft Dairy Products,25,32124,0
Kraft Oscar Mayer Lunchables ,1,1335,0
Labels,12,18500,792
"Kraft mayo, Planters Peanuts, Kraft Dressing & Jello Sugar Free Gelatin",10,15980,0
fresh meat,10,16304.5,0
Kraft Oscar Mayer Lunchables ,1,1144,0
Compression Tank Pump,1,367,0
Restauran Equipment & Supplies,1,185,0
Industrial Suppliesand  Parts,1,176,0
Plastic Parts,2,1045,0
Beverage Dispensing Equipment,3,282,0
plastic containers,3,869,0
"table,molds,doors",1,326,0
1 pump & 1 tank,2,911,52
"Bread,",17,8223.1,670.22
Corn ,15,0,0
Assorted Products ,11,8590,214
GELATIN DESSERTS different flavors,2,800,0
"Wafers all kinds , Molds all kinds , Candy cups , Melt milk,",9,8264,0
"smartkart machine, Vehicle , Electric, with Batteries",1,250,0
Anco Fine Cheese all kinds ,4,4894.43,203.14
"Plastic Cups, Plates, ",8,3008.9,346.8
"Parkay Margarine Sticks, Tube and Bowl Spreads",3,4170.86,108
"sprayers paint airless power, operated wheeled or spary gun",1,218,0
electrical materials,5,2187,0
Flour Tortillas and CHOCOLATE Molton Cake,3,3485.5,172.5
Restaurant Frozen Foods,21,37573,0
YOGURT ALL KINDS,10,12919,0
Restaurant Grocery Supplies,7,11042.1,458.84
Restaurant Dairy Product - Cheese,3,4521.25,181.4
Bailey's Coffee Creamer ,1,648,0
comercial appliance,1,170,23.3
Spare Parts,1,47,0
Kraft Parkey Spreads,7,8477,0
Artificial Sausage Casings / Tripas Plasticas,2,2444,0
B-120 Sufite Catalizer for Oxygen Removal,1,462,0
Lighter fluid,1,192,0
Assorted Dry Cereal ,31,19641,1635
"Pancake,Brownnie,  Cake Mixes & Frosting ",5,4783,153
COTTAGE CHEESE 2% LOWFAT,1,1737,0
YOGURT NONFAT PLAIN,8,5939,0
ICB Margarine ,10,16906,677
Display,1,202,0
hand held computers,1,0,0
fabric air dispersion system,1,441,0
stainles steel cart,1,96,25
Yogurt all Kinds,6,3982,0
,8,5840,0
La Yogurt Assorted Products ,8,7966,0
Cottage & Sour Cream Cheese,1,1387.6,40
"Oscar Mayer Lunchables, Bacon And Winnersw",1,784.5,0
fresh grapes,20,38000,0
Jello Gelatin,1,188,0
"Assorted Deli Meats, Spreads  and Cheeses",8,9186,0
Restaurant Frozen Foods,21,37573,0
fresh grapes,20,34500,0
"snack bags, plastic food wrap, platic containers",10,4480,344
fresh grapes,20,38000,0
"Assorted Deli Product., Luis Rich, Oscar Myer",1,845,0
Mayo & Dressings ,4,3770,0
assorted chesse products,13,16300,0
Grapes ,20,38000,0
fresh grapes,20,34500,0
Fresh Meat,9,15768.8,389
cold cuts,14,11525.62,0
fresh grapes,20,38000,0
loading racks and aluminum baskets,1,285,0
Flavoring Material / Liquid Extracts,1,752,0
Valvulas Parmalat,1,90,0
Lighter  Products ,1,323,0
Cheeze Whiz,1,1615,0
Cheese all kinds,2,1686,70.57
"Creamer powdered,pickle dill,relish,stir fry sauce",12,14139.18,0
Dressings all kinds ,2,2580,0
Kraft Spreads,4,5913.55,157
Marketing Supplies / Freezer Decals,1,320,0
baby chairs,1,58,0
Aluminum extrusions,3,355,0
1 FORKLIFT - I BATTERY - I CHARGER,2,4750,0
1 Forklift - 2 batteries and 1 Charger,3,10000,0
Kraft Spreads,18,21343.58,714
 turkey,2,2839,0
cement additives ,2,3029,0
Plastic Parts,3,1825,0
"Tree Ripe Carafe Premium Natural and Calcium, Vitamin",3,4289,0
HD-Holiday Marketing,1,52,0
Assortd Dannon Yogurts,11,12855,0
rolls,1,36,0
"Appliances , Home Articles",2,2548,108
REFRIGERATED Flour Tortillas ,8,8291,365
La Yogurt Assorted Product ,8,7834,0
Naked Juice Assorted Product,1,524,0
Rotisserie Equipment,2,1160,0
Kraft Non-Dairy Creamer,28,21573,0
"cabinets, dispenser , racks",6,1040,0
500 hp Motor Frame for Compresor,1,2440,0
"equipment, air conditionar",3,4410,244
102991-2992 Plastic Films Rolls,3,2969,0
Fresh Pork,10,21091.6,351
Barrier Bags,3,1572,0
Tofu ,1,1680,0
RL-120.5,1,42,0
Tripas Artificiales ,1,180,0
Iron Fittings,1,720,0
Kraft DRY GROCERY Products,5,2860,0
Non- Dairy Creamer,3,1603,0
Bobina Liners de Induccion PE Impreso,10,10429,0
Assorted Dannon Yogurt Product ,15,29760,0
6 Hobart 1/2 HP 120/60/1 Slicers ,3,350,102
Iron Fittings,8,1890,0
Duct Strips Rolls ,1,185,0
Emmi Assorted Yogurts,1,1000,0
Shrink Wrap Machine Sealer,1,472,0
Shrimp ,3,2286.3,0
204888 300.000 LINER SENSITIVO PS- 37.7 MM,1,185,0
Vacuum Pouches,1,177,0
Dairy Products / Cheese all kinds,16,30936.2,0
Kraft Dairy Products,2,600,0
"Oscar Mayer Lunchables, Breakston Sour Cream",1,680,0
Supplies,1,80,0
Assorted Ham and Turkey Product,6,5776,0
DRY GROCERY,3,1257,0
FROZEN PRODUCTS,1,856,0
frozen Product,2,1248,0
equipment,1,579,100
DRY GROCERY Merchandise,2,1980,50
PASTA SAUCES,20,44569,1003
DRY GROCERY Merchandise,9,7514.63,273.04
DRY GROCERY Merchandise,7,1774,274
Yogurt all kind,12,5889,0
personal items,2,650,0
Alouette Cheese and Smithfield Cream cheese,6,12087.1,0
Cheeses all Kinds ,25,39057.6,870
"Soy Milk, Rice Milk, Almond Milk",9,15336,293
Tissue Paper ,28,8064,0
La Yogurt Assorted Products ,8,7966,0
Earth Wise Assorted Juices,3,1539,0
Sour Cream and Cottage Cheese,1,1737.3,51
Cheeses all kinds ,45,38920.76,1407
WHSS-1 (TX) Film Wrapper ,1,21,0
Paper Towel ,28,7392,0
Parkay Margarine,10,12009,0
Jimmy Dean Sausages ,2,1620,126
47987 Rattan Basket s with handle,1,32,0
Tissue Papper,30,11682,3051
white aluminum reflector retrofit ,2,1113,0
Flower Pots,1,160,0
Kraft DAIRY PRODUCTS,22,29407,0
Kraft Salad dressing y Jello,2,1670,0
Kraft Oscar Mayer Lunchables ,1,953,0
Anti Vibration Products ,1,1207,0
Fan Guard Replacement,2,716,0
"pasta sauces, spinach dip",7,13506,0
Hersheys,3,3714,0
Montchevre,1,0,0
Kraft Parkay ,11,12654,0
Stonyfiels,1,0,0
kefir,2,2820,0
Sabras,1,853,0
Outside Skirt Steaks,3,2631.4,0
YOGURT ALL KINDS,15,14737,0
Tyson Foods Bacon,3,5648,179
VFT-005-F 5 Gal Vertical Dish Bottom Out By Pass Feeder,1,39,0
Babyback Ribs with BBQ Sauce,2,3360,130
food club bratwurst ,3,5436,229
Rainbow Non-Pareils - Bakery,1,315,40
office supplies ,1,1978,65.3
Construcction Materials,1,251,0
equipment,1,285,0
"Pasta sauces, tomatoe sauces",20,43147,700
sauces all kind ,20,42922,985
hardware product,3,3090,126
fresh Meat,13,21048.1,0
juice all kind,18,39786,1169
Tortillas,10,10644.5,470
YOGURT ALL KINDS,7,5600,0
juice all kind,18,40896,1085
Batteries ,4,4980,0
Sour Cream and Cottage Cheese,1,1212.04,40
Cookies all kind,2,880,89
La yogurt all kind,8,7952,0
"coffee filters,baking cups ",4,934.05,166
Frozen Vegetables all kinds,13,23608.8,881
"sauce taco,jalapenos,chiles,beans taco shells",15,14827,447
"Flanges, expansion",2,1432,0
Body Washes and Shower Gels ,4,5178.34,187
"hands sanitizers, Tampons, Body Washes,sanitizers ",13,11896.17,558
Fruit Puree Cocktail (non-alcoholic),20,38400,20
sandwich bags freezer bags snack bags stoarge bags,22,11001,894
YOGURT ALL KINDS,12,14072,0
inventory scanner ,1,88,0
brass,3,1678,0
cement additives ,2,966,0
Salt,18,44352,987
fruits juicer machine,1,866,74
Batteries ,3,4636,0
fans,12,2884,629
"Creamer powdered,pickle dill,relish,stir fry sauce",18,17634,822
Supherb Chimichurri Paste,1,178,6.01
"toothpick, cutlery combo",10,5814,458
Produce and dairy,3,1625,77
Seasoning all kinds ,2,1706.36,80
Home articles,1,300,0
Rubber Gloves and Cleaning Supplies,43,36509,1174
"cooling boxes ot , density",2,2800,0
Hersheys,1,500,0
equipment,1,1500,263
Extracs Flavouring Liquids,1,198,0
Home Articles,39,8788,0
bakery displays ,2,1888,260
Naked Juice,1,570,0
Plastic Films,4,3063,0
Frozen Turkey,18,0,21316
"dressing all kinds,syrups,peanut butter ",20,36529,835
 a/c equipment ,8,7200,992
yogurt all kind,7,0,0
hardware,1,84,10
Baling machine,1,2016,130
cement additives ,1,261,0
equipment,1,226,30
Baterias GNB MOnt. SC4500,2,5221,0
Kraft Dairy Products,1,501.6,0
Kraft Steak SC A1,2,1260,0
,3,3078,0
Yogurt all Kind,8,7952,0
Tree Ripe,3,3571,0
"Kraft Dressing, BBQ Sauce and Jello Gelatin",4,3924.58,0
Kraft - Oscar Mayer Lunchables,2,1393,0
Wraps and Pan Pressata,2,2600,0
Frozen Turkey,26,41163,0
soymilk rice milk almond milk,7,11550,228
Restaurant Supplies,3,2657,0
Kraft Dairy Products,34,37870,0
equipment,7,2274,194
Frozen Turkeys,25,43730.33,1062
compressor & tubing kit ,1,1000,0
Refrigeted equipment,3,265,44
Cheese all Kind,6,12203.94,0
Fresh Meat,3,3630,132
"Seasonings, Spices, Tenderizers & Roasting Bags  ",4,2123,114
Hydraulic Pumps,7,3900,0
Kraft Parkey Spreads,6,7705.34,0
6 boxes,1,87,2
fixing strap,2,1000,0
hair accesories,3,1282,126
Unidad de A/C 5 Toneladas 13 SEER,1,390,0
Plastic Film,3,1673,0
REFRIGERATED cargo,1,1545,110
Home Articles,27,13391.09,0
204888 300.000 LINER SENSITIVO PS- 37.7 MM,1,182,0
FROZEN PRODUCTS,22,17649.26,0
Iced Tea Mix ,18,10992,344
bakery craft,2,533,54
Dannon Yogurt All Kind,12,13371,0
Restaurant Grocery Supplies,4,6152.7,0
,2,3171.7,0
Unidad de A/C 5 Toneladas 13 SEER,1,360,0
"tomatoes crushed in puree,diced dill pickle rib spice",1,3043.2,74.16
PFG FROZEN PRODUCTS,9,14759.46,551.18
Equipment,1,136,0
Valves and Brackets,1,366,0
Bathromm Fixtures and Supplies,1,235,0
chair,1,100,0
"Cereal,oatmeal,snack mix ",56,26772.24,2798
ALUMINUM FOIL,14,9952,692
Star 55 Decal Holiday,1,20,0
204888 300.000 LINER SENSITIVO PS- 37.7 MM,1,185,0
204888 300.000 LINER SENSITIVO PS- 37.7 MM,1,182,0
Dish Detergent and Glass Cleaners ,4,4898,180
Frozen pork loin,24,46283.65,1273.91
beef all kinds ,14,22543,488
FROZEN HORMEL MEAT PRODUCTS ,7,5429.16,428
"Insoles, Corn Remover, Moleskin, Heel Liners, HBC - HBA Products",1,581,39
Noodles all kinds soups all kinds ,2,948,0
FROZEN MEAT,3,4956,149
Personal Items,1,300,0
Fresh  Pork,11,20303,223
"Mani and Pedi Kits, Pumice Stones",2,1240,101
plastic bags,6,6900,150
Earth Wise,2,1026,0
"Spices, Seasoning",1,940,30
yougrt,8,7966,0
Kraft Dairy Products,26,34005,0
REFRIGERATED Tortillas,8,8291.01,365
Kraft DRY PRODUCTS ,22,32826,0
Kraft Mayonnaise,23,33936,0
Wall paper rollls,1,149,0
DRY GROCERY,9,5697,500
Kraft Jello & Steak Sauce,1,790.78,0
Kraft Oscar Mayer Lunchables ,1,734,0
Kraft Dairy Products All kind,11,11799.46,0
Plastics Plates and cups ,8,4800,308.64
"Laundry Detergent, Softener, Dish Detergent",9,10000,355
Pulsafeeder Clamp Mount Mixer 1/4 HP,1,75,0
Baking paper,1,121,0
Kraft Parkey Spreads,7,7705.34,244
hardware product,3,3090,126
Frozen Turkeys,22,40061.05,1008
granola bars,1,670,0
scales,1,396,0
Chilis Red 4 x 4 Ceramic,1,161,0
Table Sauce,4,1127,184
household item ,8,6406,240
I can't Believe Spreads,10,16434,665.48
ambientadores,1,838,0
"Rice Crisps All kinds,cann juice,pasta sauce,cereal bars,dressing all kinds",16,18595.1,653
PASTA SAUCES,1,177,11
personal items,1,11,0
air cooler or air conditioners,3,2158,162
Plt Fak,1,124,10
air cooler or air condtioners,2,764,0
"chicken wings,salmon,breaded mozzarella,mango mix",4,5121.76,328.22
cheese parmesan ribbon shaved/fancy small pecan pieces,1,440.9,27.96
"BBQ Sauces, Red Sangria Syrup, Pineapple Juice",5,11851.11,398.11
YOGURT ALL KINDS,15,17251,0
Kraft Dairy Products,14,11716.76,0
"Kraft Dressing, Steak Sauce and Jello Gelatin",1,790.78,0
Kraft Oscar Mayer Lunchables ,1,738.9,0
FROZEN MEAT,1,368,10
Restaurant Supplies,1,240,0
Land O'Frost Deli Turkey and Ham,1,1177,0
Naked Juice All Kinds,1,523,0
DRY GROCERY,9,13980,615
bird foods,3,2900,0
Hardware articles,2,3174,210
Landmover,3,2040,364
"muffin mix, brownie mix, cake mix, frosting, pancake mix",49,41399,2372
olives all kind,3,4648,96.96
frozen fish,2,2400,0
Yogurt and Creek Yogurt all kinds,9,5680,248
SOUR CREAM,1,1737.3,51
CHARCOAL Brickets & Lighter Fluid ,14,15840,606
Fresh Meat,13,21830.8,468
pita bread ,18,15994,0
Restaurant Supplies,3,2657,0
nut/bult sets ,1,63,0
equipment,1,19,27
CHOCOLATES,2,1635,125
La Yogurts All kinds ,8,0,0
Juices All Flavors ,19,43680,1150
Bread ,23,7837,649
FROZEN MEAT,1,368,10
Warehouse equipments / Electric Pallet Jack With Batterry,5,6646,0
DAIRY PRODUCTS ,9,4630,0
picnic stuff,1,300,63
Celery seeds powder,1,638,0
18.9L Policarbonate Water Bottle Mold Model 90298,1,725,0
8330 Kraft Mayo Export 12 / 15oz,23,33936,0
Flavoring,1,907,0
0-36800-44612-0 Olives Ripe Sliced,5,180,4.38
suplies,3,2825,132
Celery Powder,1,1140,0
YOGURT ALL KINDS,1,880,0
Delallo REFRIGERATED,1,192,0
Sabra Hummus all Kinds ,1,682,0
YOGURT ALL KINDS,1,1167,0
"dinner pasta,  macaroni and cheese ",57,27260,2439
Candies all kinds,30,24739.25,0
"Cereals, Cooking Spray ,Snacks and Bars",12,6488,431
Hanes 50/50/hooded Swearshirt,1,103,0
Hardware,1,2375,106
Dispensers,1,228,0
YOGURT ALL KINDS,14,18060,0
Smart Balance Butter Spreads ,6,5712.41,247
Candies all Kinds,29,28550,2588
Candies all kinds,29,25062.5,1951
Revestimiento Pared / carpets,1,93,0
Wearing apparel ,4,740,280
cereal corn flakes,48,21660,2761
Cookies All Kinds ,2,831,102
Restaurant Supplies,1,368,0
gyros,7,5955,0
8336 Kraft BBQ Sauce Honey 12 / 17.5,22,32826,0
Household Cleaning Supplies and Deterdents,25,43077,1574
MARASCHINO CHERRIES ,4,5265,100
Plastic Film,1,802,0
Frozen Waffles and Pancakes,4,3651,719
Lumber Yard Supplies,1,522,45
dairy products,8,1243,0
La Yogurts All kinds ,8,7952,0
"Tree Ripe Carafe Premium Natural and Calcium, Vitamin",2,3574,0
REFRIGERATED Tortillas ,11,10631.01,470
Cooking freezin boxes or Refrigerator . Mechanical cooking or freezin appartus,1,395,55
Home Articles,2,822,88
Dog & Cat Food,35,24884.25,553
Revestimiento Pared / carpets,1,93,0
Juices All Flavors ,18,41002,0
Soda Beverages all kinds ,18,36330,877
Soda Tonic and clubs,3,6055,173
Dock Ramps ,3,3867,173
Reynolds - Presto Palstic Products ,40,10924.6,2012
Tornillos y Placas De Soporte,3,4960,0
Sabor de Carne Y Pavo,3,3593,0
sporing goods,2,836,0
"Cappuccino French vanilla, mocha , Choco caramelo, and Cups",3,2685,159
sauces all kinds ,4,5235,112
Dairy Products / yogurt,3,4208.06,138.96
YOGURT ALL KINDS,2,1872,100.8
adapter,1,74,27
sample box,1,0,0
Mars Air Systems STD 42 and STD 64,1,375,0
cranberry sauce ,3,6300,129
,1,111,0
B-120 Sulfito Catalizado Para Remover Oxigeno,1,462,0
Bickels Snack Food - Snack Party Mix ,11,4725,818
YOGURT ALL KINDS,13,17075,0
Bird Food all Kinds,8,12350,392
Fibrous Casing,2,2334,0
candy all kind,28,22387.5,1990.12
DRY GROCERY,13,24007,458
Loren Cook Fans,6,1100,0
Pumpkins,32,22000,0
DRY GROCERY,1,1180,0
"sporting goods, fishing stuff",1,80,48
DRY GROCERY,15,5000,671
Cheese all kinds ,48,39911.34,1841
Loren Cook Fans ,6,0,0
Spices all kinds and salts ,2,1662,56
"Apples Sauces, Pie Fillings, Fruit canned slices",6,10082,274
Cheese all kinds,29,39509.38,1071
YOGURT ALL KINDS,10,4864,0
Plastic Film,3,3540,0
Gelatin Dessert and pudding ,3,1350,128
"Salad Pizzas, aderezos para ensaldas",1,425,0
Earth Wise,2,1539,0
Yogurt,8,7700,0
Fresh Meat,13,20995,491
YOGURT ALL KINDS,11,5175,258
Dairy Products / Cheese all kinds,25,20738.68,846
0-11225-58045-1 Imitation IWS 16 slice Count 10.66 oz,22,38280,743
Dairy Products / Cheese all kinds,1,1212.04,38
Assorted DRY GROCERY Merchandise,20,12884.85,728
Dog and cats Accesories ,6,1774.5,279
Cracker,3,2939.4,263
Health Beauty and Care Products ,7,8154,287
office supplies ,9,5642.6,407
Cracker Original,2,661,68
Thermal,1,0,0
Fresh Grapes and Plums,19,32000,0
Furniture,3,3500,0
Lighters all kinds ,1,500,24
HBC/HBA Supplies,22,16305,851
Organic Pasta,1,354,22
HBC/HBA Supplies,28,25522,1169
Tissue Paper,32,17742,3064.92
Dog Treats ,1,907,40
Plastic Film,2,1876,0
105383 Sabor Dulce De Leche,1,60,0
cement additives ,3,3682,0
Candies all kinds,1,1236,0
Diapers Ultra - Associated Hygienic Products,30,8903,1502
DRY GROCERY,4,8626,173
Naked Juice all Kinds ,1,654,0
Belgioso Fresh Mozzarella ,1,1134,0
